# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_target
"/content/drive/MyDrive/WASP-12 b/WASP-12241001071849.FITS",2460584.806021271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001072316.FITS",2460584.809122355,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001072742.FITS",2460584.8122002077,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001073349.FITS",2460584.8164457926,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001073532.FITS",2460584.8176405644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001073915.FITS",2460584.820213876,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001074215.FITS",2460584.822301341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001074816.FITS",2460584.8264772086,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001075115.FITS",2460584.828553364,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001075716.FITS",2460584.8327282243,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001080015.FITS",2460584.834802852,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001080315.FITS",2460584.836890919,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001080915.FITS",2460584.8410549792,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001081215.FITS",2460584.8431419693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001083016.FITS",2460584.855653273,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001083315.FITS",2460584.8577187215,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001083615.FITS",2460584.859805237,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001084216.FITS",2460584.8639798653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001084515.FITS",2460584.866055535,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001084815.FITS",2460584.868142201,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001085716.FITS",2460584.8744053934,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001090016.FITS",2460584.876480762,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001090315.FITS",2460584.878556675,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001091816.FITS",2460584.8889802573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001092715.FITS",2460584.8952273834,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001093015.FITS",2460584.8973134356,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001093615.FITS",2460584.9014735133,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001093916.FITS",2460584.9035744164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001094815.FITS",2460584.909808705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001095115.FITS",2460584.9118978474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001095716.FITS",2460584.916072684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001100315.FITS",2460584.920224589,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001100615.FITS",2460584.922311428,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001100915.FITS",2460584.924398754,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001102115.FITS",2460584.9327282496,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001102415.FITS",2460584.9348151926,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001103015.FITS",2460584.9389752583,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001103316.FITS",2460584.941073545,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001103615.FITS",2460584.9431481026,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001104215.FITS",2460584.9473103904,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001104515.FITS",2460584.9493976575,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001104815.FITS",2460584.951484821,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001105717.FITS",2460584.9577491684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001110015.FITS",2460584.9598176023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001110316.FITS",2460584.96190436,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001110616.FITS",2460584.9639920327,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001110916.FITS",2460584.966080098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001111216.FITS",2460584.9681603387,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001111516.FITS",2460584.9702476636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001111816.FITS",2460584.9723224873,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001112116.FITS",2460584.9744126014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001112415.FITS",2460584.9764877604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001113015.FITS",2460584.980651205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001113315.FITS",2460584.9827389466,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001113615.FITS",2460584.984814499,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001114515.FITS",2460584.9910649094,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001114815.FITS",2460584.9931524536,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001115115.FITS",2460584.995240125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/MyDrive/WASP-12 b/WASP-12241001115415.FITS",2460584.9973160364,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
